2025-04-28 15:58:48 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-04-28 15:58:49 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.1.139 and 192.168.12.10
2025-04-28 15:58:49 INFO  c.r.r.service.login.LoginController - IP not found
2025-04-28 15:58:49 INFO  c.r.r.service.login.LoginController - initialized
2025-04-28 15:58:52 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-04-28 15:58:57 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - cropX cropY 0.0 441.5 : 
2025-04-28 15:58:57 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ellipse PatientPrintEllipseWrapper{centerX=321.82978723404256, centerY=222.331914893617, radiusX=8.0, radiusY=8.0} 
2025-04-28 15:58:57 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ellipse PatientPrintEllipseWrapper{centerX=317.2340425531915, centerY=488.8851063829788, radiusX=8.0, radiusY=8.0} 
2025-04-28 15:58:57 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ellipse PatientPrintEllipseWrapper{centerX=301.9148936170213, centerY=735.5234042553192, radiusX=8.0, radiusY=8.0} 
2025-04-28 15:58:58 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 949x1676}
2025-04-28 15:58:58 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 960x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 967x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 978x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 985x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 1101x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 1122x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 1230x1676}
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Image dimensions: 2048 x 1677
2025-04-28 15:59:03 INFO  c.r.r.m.p.i.d.PrintCropLayout - Adjusted Crop Rectangle: {540, 0, 1302x1676}
