2025-07-17 12:37:25 INFO  com.raymedis.rxviewui.service.study.StudyMainController - Console is ON
2025-07-17 12:37:30 INFO  com.raymedis.rxviewui.controller.LoginPage - logged In
2025-07-17 12:37:30 INFO  com.raymedis.rxviewui.service.login.LoginController - 192.168.12.10
2025-07-17 12:37:30 INFO  com.raymedis.rxviewui.service.login.LoginController - No Wi-Fi interface found or no IPv4 address assigned.
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.service.study.StudyMainController - Setting console values for body part: Chest
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Setting Xray Console - kv: 70.0, ma: 80, mas: 4.0
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - setMa kv1: 70.0, ma1: 80.0
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - x: 175
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Current Sent: 80.0
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.32
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.49
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.29
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.49
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - filamentCurrent: 8.32
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - KV Sent : 70.0
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.32
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.49
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.29
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - Calibration Val: 8.49
2025-07-17 12:37:31 INFO  com.raymedis.rxviewui.modules.serialPortCom.SerialPortManager - In short sending KV: 208
