2025-05-07 16:25:30 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-05-07 16:25:31 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.1.139 and 192.168.12.10
2025-05-07 16:25:31 INFO  c.r.r.service.login.LoginController - IP not found
2025-05-07 16:25:31 INFO  c.r.r.service.login.LoginController - initialized
2025-05-07 16:25:34 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-05-07 16:25:42 INFO  c.r.r.m.p.i.d.PrintMainDrawTool - PrintMainDraw ImageProcess
2025-05-07 16:25:42 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - canvasMainChange applyAllDrawingTools() 
2025-05-07 16:25:52 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - canvasMainChange clearCanvas() 
2025-05-07 16:25:52 INFO  c.r.r.m.p.i.d.PrintMainDrawTool - maindrawtool reset
2025-05-07 16:25:52 INFO  c.r.r.m.p.i.d.PrintMainDrawTool - PrintMainDraw ImageProcess
2025-05-07 16:25:52 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - canvasMainChange applyAllDrawingTools() 
