2025-08-01 17:17:47 INFO  c.r.r.s.study.StudyMainController - Console is ON
2025-08-01 17:18:14 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-08-01 17:18:15 INFO  c.r.r.service.login.LoginController - 192.168.12.10
2025-08-01 17:18:15 INFO  c.r.r.service.login.LoginController - ip mismatched 10.204.22.235 and 192.168.12.10
2025-08-01 17:18:15 INFO  c.r.r.service.login.LoginController - IP not found
2025-08-01 17:18:15 INFO  c.r.r.service.json.WifiSettings - 192.168.12.10
2025-08-01 17:18:15 INFO  c.r.r.service.json.WifiSettings - Batch file created: set_static_ip.bat 
2025-08-01 17:18:15 INFO  c.r.r.service.json.WifiSettings - Running batch file as admin...
2025-08-01 17:18:15 INFO  c.r.r.s.f.controller.FpdController - Loading detector: X221AW2-B1C, SDK type: RAD_INNOCARE
2025-08-01 17:18:15 INFO  c.r.r.service.login.LoginController - initialized
2025-08-01 17:18:18 ERROR c.r.r.s.f.controller.FpdController - No devices found
2025-08-01 17:18:18 INFO  c.r.r.service.login.LoginController - No devices found!!!
